GEO/TIME;2007;2008;2009;2010;2011;2012;2013;2014
Denmark;20553;20362;21391;20923;23297;22238;21396;22344
Germany (until 1990 former territory of the FRG);16960;17581;17659;17935;18230;19166;19211;18591
France;14568;17008;16951;17595;17333;18081;18365;18531
Italy;13874;14269;14606;14432;14452;14276;14170;14111
Lithuania;3362;4031;4907;3743;3561;4277;4743;4833
Netherlands;17524;18319;19059;19147;18671;18630;19281;18711
Romania;1576;1873;2010;1857;1807;1738;1720;1753
Slovenia;9832;10768;11960;11596;11794;11849;11475;11451
Sweden;16149;17836;18557;17036;19991;22190;22256;23334
United Kingdom;21136;18571;15223;15573;15832;17427;17138;19108
